"sigma","k","Accuracy","Kappa","AccuracySD","KappaSD"
0.2,1,0.95525,0.950277777777778,0.0118115997599347,0.0131239997332608
0.2,2,0.94575,0.939722222222222,0.00979299636361507,0.0108811070706834
0.2,3,0.952,0.946666666666667,0.0091893658347268,0.0102104064830298
0.2,4,0.94975,0.944166666666667,0.0129877078638055,0.0144307865153395
0.2,5,0.94725,0.941388888888889,0.0130410676113746,0.0144900751237496
0.2,6,0.945,0.938888888888889,0.0163724022536571,0.018191558059619
0.2,7,0.9445,0.938333333333333,0.0148977999867244,0.0165531110963604
0.2,8,0.93825,0.931388888888889,0.014862798450419,0.0165142205004656
0.2,9,0.937,0.93,0.0175910330692783,0.0195455922991982
0.2,10,0.93275,0.925277777777778,0.0159186298963754,0.0176873665515282
0.2,11,0.9285,0.920555555555556,0.0157762127549323,0.0175291252832581
0.3,1,0.9555,0.950555555555556,0.0115349709819988,0.0128166344244432
0.3,2,0.94525,0.939166666666667,0.0103043949630997,0.0114493277367775
0.3,3,0.9535,0.948333333333333,0.0100138792571999,0.0111265325079998
0.3,4,0.95225,0.946944444444444,0.012101997080372,0.0134466634226356
0.3,5,0.9495,0.943888888888889,0.0138844437331057,0.0154271597034507
0.3,6,0.947,0.941111111111111,0.0140830867828517,0.0156478742031686
0.3,7,0.946,0.94,0.0131866936299016,0.0146518818110018
0.3,8,0.93925,0.9325,0.0148160011099112,0.0164622234554569
0.3,9,0.93775,0.930833333333333,0.0151130002904049,0.0167922225448943
0.3,10,0.93525,0.928055555555556,0.01534103067666,0.0170455896407333
0.3,11,0.92975,0.921944444444444,0.0131471374155069,0.0146079304616744
0.6,1,0.97675,0.974166666666667,0.00677515887472596,0.00752795430525108
0.6,2,0.9715,0.968333333333333,0.00689202437604511,0.00765780486227235
0.6,3,0.977,0.974444444444444,0.0083166499665831,0.00924072218509234
0.6,4,0.9725,0.969444444444444,0.0106066017177982,0.0117851130197758
0.6,5,0.97175,0.968611111111111,0.0120790222194422,0.0134211357993802
0.6,6,0.96725,0.963611111111111,0.0110836466121138,0.0123151629023487
0.6,7,0.967,0.963333333333333,0.0101242283656583,0.0112491426285092
0.6,8,0.96925,0.965833333333333,0.00764217101207359,0.00849130112452621
0.6,9,0.96525,0.961388888888889,0.0108940605632407,0.0121045117369341
0.6,10,0.9625,0.958333333333333,0.0097182531580755,0.0107980590645283
0.6,11,0.962,0.957777777777778,0.0104615698843168,0.0116239665381298
1,1,0.985,0.983333333333333,0.00687184270936276,0.00763538078818086
1,2,0.981,0.978888888888889,0.00411636301174281,0.00457373667971422
1,3,0.985,0.983333333333333,0.0052704627669473,0.00585606974105256
1,4,0.98425,0.9825,0.00441745276023287,0.00490828084470319
1,5,0.983,0.981111111111111,0.00574939610355343,0.00638821789283715
1,6,0.98025,0.978055555555556,0.00606103218198941,0.00673448020221045
1,7,0.98075,0.978611111111111,0.00624166110369133,0.00693517900410148
1,8,0.98175,0.979722222222222,0.00667187296708269,0.00741319218564744
1,9,0.97975,0.9775,0.00803205384001432,0.00892450426668256
1,10,0.9785,0.976111111111111,0.0061463629715286,0.00682929219058732
1,11,0.97825,0.975833333333333,0.00858373785454539,0.00953748650505041
1.5,1,0.9905,0.989444444444444,0.00404831926716369,0.00449813251907077
1.5,2,0.98725,0.985833333333333,0.00398782870466846,0.00443092078296497
1.5,3,0.991,0.99,0.00293446947694316,0.00326052164104795
1.5,4,0.98925,0.988055555555556,0.00391755309118107,0.00435283676797897
1.5,5,0.9885,0.987222222222222,0.00444097086482474,0.0049344120720275
1.5,6,0.987,0.985555555555556,0.00510990323891863,0.00567767026546514
1.5,7,0.988,0.986666666666667,0.00468448977418508,0.00520498863798343
1.5,8,0.987,0.985555555555556,0.00510990323891865,0.00567767026546518
1.5,9,0.98675,0.985277777777778,0.00527704673299586,0.00586338525888428
1.5,10,0.98675,0.985277777777778,0.00425734659148159,0.00473038510164622
1.5,11,0.98625,0.984722222222222,0.00460223375716136,0.00511359306351264
2,1,0.99175,0.990833333333333,0.00409097923621121,0.00454553248467911
2,2,0.9905,0.989444444444444,0.00468448977418507,0.0052049886379834
2,3,0.99425,0.993611111111111,0.00289875452182101,0.00322083835757889
2,4,0.99225,0.991388888888889,0.0032167098442698,0.00357412204918865
2,5,0.99425,0.993611111111111,0.00312916389258643,0.00347684876954047
2,6,0.9925,0.991666666666667,0.00288675134594811,0.00320750149549791
2,7,0.992,0.991111111111111,0.0030731814857643,0.00341464609529368
2,8,0.99075,0.989722222222222,0.00373608529524331,0.00415120588360367
2,9,0.99075,0.989722222222222,0.00425734659148161,0.00473038510164624
2,10,0.99075,0.989722222222222,0.00527704673299587,0.0058633852588843
2,11,0.98925,0.988055555555556,0.00409097923621121,0.00454553248467913
2.5,1,0.99375,0.993055555555556,0.00377307714089059,0.00419230793432286
2.5,2,0.99325,0.9925,0.00441745276023286,0.00490828084470318
2.5,3,0.995,0.994444444444444,0.00288675134594813,0.00320750149549791
2.5,4,0.9935,0.992777777777778,0.00357460176492121,0.00397177973880135
2.5,5,0.99475,0.994166666666667,0.00398782870466848,0.00443092078296498
2.5,6,0.99475,0.994166666666667,0.00432210082662998,0.0048023342518111
2.5,7,0.99375,0.993055555555556,0.00317323879410994,0.00352582088234439
2.5,8,0.9925,0.991666666666667,0.00311804782231161,0.00346449758034623
2.5,9,0.9925,0.991666666666667,0.00390867979985285,0.00434297755539205
2.5,10,0.9915,0.990555555555556,0.00444097086482475,0.00493441207202751
2.5,11,0.99275,0.991944444444445,0.00398782870466846,0.00443092078296495
3,1,0.99525,0.994722222222222,0.00362284418654736,0.00402538242949705
3,2,0.9945,0.993888888888889,0.00283823106098775,0.00315359006776414
3,3,0.99475,0.994166666666667,0.00362284418654736,0.00402538242949705
3,4,0.9955,0.995,0.00387298334620741,0.00430331482911934
3,5,0.99425,0.993611111111111,0.00441745276023287,0.00490828084470318
3,6,0.99475,0.994166666666667,0.00380970981688747,0.00423301090765275
3,7,0.995,0.994444444444444,0.00424918292799398,0.00472131436443775
3,8,0.9945,0.993888888888889,0.00349602949390051,0.00388447721544499
3,9,0.994,0.993333333333333,0.00337474278855277,0.00374971420950306
3,10,0.993,0.992222222222222,0.00307318148576429,0.00341464609529365
3,11,0.993,0.992222222222222,0.00283823106098773,0.00315359006776414
3.5,1,0.9955,0.995,0.0030731814857643,0.00341464609529365
3.5,2,0.99425,0.993611111111111,0.00425734659148161,0.00473038510164623
3.5,3,0.99525,0.994722222222222,0.00398782870466846,0.00443092078296495
3.5,4,0.9955,0.995,0.00404831926716371,0.00449813251907077
3.5,5,0.99525,0.994722222222222,0.00432210082662998,0.00480233425181107
3.5,6,0.99425,0.993611111111111,0.00354534123103045,0.00393926803447825
3.5,7,0.995,0.994444444444444,0.00440958551844099,0.00489953946493441
3.5,8,0.9945,0.993888888888889,0.00421637021355784,0.00468485579284203
3.5,9,0.99425,0.993611111111111,0.00391755309118106,0.00435283676797893
3.5,10,0.99325,0.9925,0.00409097923621118,0.00454553248467909
3.5,11,0.99325,0.9925,0.00409097923621118,0.00454553248467909
4,1,0.9935,0.992777777777778,0.0037638632635454,0.00418207029282821
4,2,0.9925,0.991666666666667,0.00440958551844098,0.00489953946493443
4,3,0.994,0.993333333333333,0.00411636301174281,0.00457373667971423
4,4,0.994,0.993333333333333,0.00357460176492121,0.00397177973880132
4,5,0.99575,0.995277777777778,0.00373608529524331,0.00415120588360367
4,6,0.99425,0.993611111111111,0.00391755309118106,0.00435283676797893
4,7,0.994,0.993333333333333,0.00474341649025256,0.00527046276694728
4,8,0.99325,0.9925,0.00409097923621118,0.00454553248467909
4,9,0.9935,0.992777777777778,0.0045946829173634,0.00510520324151488
4,10,0.993,0.992222222222222,0.00483045891539649,0.00536717657266276
4,11,0.99275,0.991944444444445,0.00506211418282915,0.00562457131425461
5,1,0.988,0.986666666666667,0.00307318148576429,0.00341464609529367
5,2,0.98475,0.983055555555556,0.00532942565177316,0.00592158405752573
5,3,0.99,0.988888888888889,0.0052704627669473,0.00585606974105255
5,4,0.98925,0.988055555555556,0.00312916389258645,0.00347684876954052
5,5,0.9895,0.988333333333333,0.00349602949390051,0.00388447721544502
5,6,0.98875,0.9875,0.00517069735249619,0.00574521928055132
5,7,0.99,0.988888888888889,0.00577350269189626,0.00641500299099584
5,8,0.98975,0.988611111111111,0.00506211418282916,0.00562457131425463
5,9,0.99,0.988888888888889,0.00513701166914082,0.0057077907434898
5,10,0.9895,0.988333333333333,0.00468448977418507,0.00520498863798342
5,11,0.98825,0.986944444444444,0.00624166110369135,0.00693517900410149
