"n","k","t"
500,1,0.019999999999996
500,2,0.00999999999999801
500,3,0.0300000000000011
500,4,0.0200000000000031
500,5,0.019999999999996
500,6,0.00999999999999801
500,7,0.0300000000000011
500,8,0.019999999999996
500,9,0.00999999999999801
500,10,0.00999999999999801
500,11,0.00999999999999801
500,12,0.00999999999999801
500,13,0.0200000000000031
500,14,0.0200000000000031
500,15,0.0200000000000031
500,16,0.019999999999996
500,17,0.00999999999999801
500,18,0.00999999999999801
500,19,0.00999999999999801
500,20,0.00999999999999801
500,21,0.0200000000000031
500,22,0.00999999999999801
500,23,0.00999999999999801
500,24,0.0200000000000031
500,25,0.0200000000000031
500,26,0.0300000000000011
500,27,0.00999999999999801
500,28,0.0200000000000031
500,29,0.0200000000000031
500,30,0.0200000000000031
500,31,0.019999999999996
500,32,0.00999999999999801
500,33,0.0300000000000011
500,34,0.0200000000000031
500,35,0.0399999999999991
500,36,0.0200000000000031
500,37,0.0200000000000031
500,38,0.019999999999996
500,39,0.00999999999999801
500,40,0.0300000000000011
1000,1,0.0600000000000023
1000,2,0.0800000000000054
1000,3,0.0700000000000003
1000,4,0.0600000000000023
1000,5,0.0800000000000054
1000,6,0.0700000000000003
1000,7,0.0600000000000023
1000,8,0.0600000000000023
1000,9,0.0599999999999952
1000,10,0.0600000000000023
1000,11,0.0700000000000003
1000,12,0.0799999999999983
1000,13,0.109999999999999
1000,14,0.119999999999997
1000,15,0.0799999999999983
1000,16,0.100000000000001
1000,17,0.0800000000000054
1000,18,0.0700000000000003
1000,19,0.0599999999999952
1000,20,0.0600000000000023
1000,21,0.0700000000000003
1000,22,0.0799999999999983
1000,23,0.0600000000000023
1000,24,0.0800000000000054
1000,25,0.0700000000000003
1000,26,0.0799999999999983
1000,27,0.0600000000000023
1000,28,0.0799999999999983
1000,29,0.0599999999999952
1000,30,0.0600000000000023
1000,31,0.0700000000000003
1000,32,0.0799999999999983
1000,33,0.0600000000000023
1000,34,0.0799999999999983
1000,35,0.0599999999999952
1000,36,0.0700000000000003
1000,37,0.0600000000000023
1000,38,0.0799999999999983
1000,39,0.0600000000000023
1000,40,0.0800000000000054
1500,1,0.189999999999998
1500,2,0.170000000000002
1500,3,0.18
1500,4,0.190000000000005
1500,5,0.18
1500,6,0.170000000000002
1500,7,0.190000000000005
1500,8,0.170000000000002
1500,9,0.160000000000004
1500,10,0.189999999999998
1500,11,0.18
1500,12,0.169999999999995
1500,13,0.18
1500,14,0.159999999999997
1500,15,0.200000000000003
1500,16,0.170000000000002
1500,17,0.170000000000002
1500,18,0.189999999999998
1500,19,0.169999999999995
1500,20,0.170000000000002
1500,21,0.170000000000002
1500,22,0.160000000000004
1500,23,0.390000000000001
1500,24,0.169999999999995
1500,25,0.18
1500,26,0.189999999999998
1500,27,0.189999999999998
1500,28,0.170000000000002
1500,29,0.170000000000002
1500,30,0.160000000000004
1500,31,0.170000000000002
1500,32,0.190000000000005
1500,33,0.160000000000004
1500,34,0.189999999999998
1500,35,0.169999999999995
1500,36,0.18
1500,37,0.189999999999998
1500,38,0.170000000000002
1500,39,0.18
1500,40,0.170000000000002
2000,1,0.420000000000002
2000,2,0.43
2000,3,0.410000000000004
2000,4,0.410000000000004
2000,5,0.439999999999998
2000,6,0.420000000000002
2000,7,0.43
2000,8,0.410000000000004
2000,9,0.43
2000,10,0.420000000000002
2000,11,0.419999999999995
2000,12,0.43
2000,13,0.420000000000002
2000,14,0.420000000000002
2000,15,0.439999999999998
2000,16,0.419999999999995
2000,17,0.420000000000002
2000,18,0.439999999999998
2000,19,0.440000000000005
2000,20,0.439999999999998
2000,21,0.43
2000,22,0.420000000000002
2000,23,0.419999999999995
2000,24,0.43
2000,25,0.419999999999995
2000,26,0.43
2000,27,0.440000000000005
2000,28,0.420000000000002
2000,29,0.420000000000002
2000,30,0.419999999999995
2000,31,0.420000000000002
2000,32,0.439999999999998
2000,33,0.420000000000002
2000,34,0.440000000000005
2000,35,0.429999999999993
2000,36,0.420000000000002
2000,37,0.469999999999999
2000,38,0.530000000000001
2000,39,0.5
2000,40,0.570000000000007
2500,1,1.22
2500,2,1.22
2500,3,1.31
2500,4,1.18000000000001
2500,5,1.20999999999999
2500,6,1.17
2500,7,1.18000000000001
2500,8,1.16
2500,9,1.16000000000001
2500,10,1.15000000000001
2500,11,1.17
2500,12,1.18000000000001
2500,13,1.16
2500,14,1.16000000000001
2500,15,1.15000000000001
2500,16,1.14999999999999
2500,17,1.36999999999999
2500,18,1.16
2500,19,1.19
2500,20,1.15000000000001
2500,21,1.17
2500,22,1.16000000000001
2500,23,1.15000000000001
2500,24,1.14999999999999
2500,25,1.16
2500,26,1.16
2500,27,1.16000000000001
2500,28,1.15000000000001
2500,29,1.19
2500,30,1.17
2500,31,1.14999999999999
2500,32,1.17
2500,33,1.14999999999999
2500,34,1.19
2500,35,1.16999999999999
2500,36,1.14
2500,37,1.17
2500,38,1.16000000000001
2500,39,1.15000000000001
2500,40,1.14
3000,1,1.48
3000,2,1.70999999999999
3000,3,1.64
3000,4,1.53
3000,5,1.56999999999999
3000,6,1.47
3000,7,1.45999999999999
3000,8,1.52
3000,9,1.43999999999998
3000,10,1.48999999999998
3000,11,1.48999999999998
3000,12,1.69
3000,13,1.47
3000,14,1.56
3000,15,1.56
3000,16,1.44999999999999
3000,17,1.44999999999999
3000,18,1.47999999999999
3000,19,1.43000000000001
3000,20,1.48000000000002
3000,21,1.45000000000002
3000,22,1.65000000000001
3000,23,1.44
3000,24,1.55000000000001
3000,25,1.53999999999999
3000,26,1.44999999999999
3000,27,1.54999999999998
3000,28,1.54999999999998
3000,29,1.46000000000001
3000,30,1.46000000000001
3000,31,1.47999999999999
3000,32,1.46000000000001
3000,33,1.5
3000,34,1.47999999999999
3000,35,1.68000000000001
3000,36,1.48000000000002
3000,37,1.54999999999998
3000,38,1.56
3000,39,1.5
3000,40,1.47
3500,1,3.29000000000002
3500,2,3.22
3500,3,3.28
3500,4,3.28
3500,5,3.30000000000001
3500,6,3.34999999999999
3500,7,3.26999999999998
3500,8,3.22999999999999
3500,9,3.46000000000001
3500,10,3.28
3500,11,3.22999999999999
3500,12,3.28
3500,13,3.22
3500,14,3.22
3500,15,3.30000000000001
3500,16,3.28999999999999
3500,17,3.23999999999998
3500,18,3.28
3500,19,3.25
3500,20,3.23999999999998
3500,21,3.29999999999998
3500,22,3.25999999999999
3500,23,3.24000000000001
3500,24,3.30000000000001
3500,25,3.21000000000004
3500,26,3.21000000000004
3500,27,3.30000000000001
3500,28,3.30000000000001
3500,29,3.23000000000002
3500,30,3.29000000000002
3500,31,3.21999999999997
3500,32,3.25
3500,33,3.32999999999998
3500,34,3.35000000000002
3500,35,3.25
3500,36,3.31
3500,37,3.26999999999998
3500,38,3.31999999999999
3500,39,3.31
3500,40,3.31
4000,1,5.56
4000,2,5.5
4000,3,5.52999999999997
4000,4,5.54000000000002
4000,5,5.51999999999998
4000,6,5.72000000000003
4000,7,5.54000000000002
4000,8,5.55000000000001
4000,9,5.56
4000,10,5.59000000000003
4000,11,5.55000000000001
4000,12,5.56
4000,13,5.59000000000003
4000,14,5.56
4000,15,5.56
4000,16,5.56999999999999
4000,17,5.57999999999998
4000,18,5.54000000000002
4000,19,5.56
4000,20,5.56
4000,21,5.60000000000002
4000,22,5.57999999999998
4000,23,5.55000000000001
4000,24,5.56
4000,25,5.57999999999998
4000,26,5.57999999999998
4000,27,5.54999999999995
4000,28,5.54999999999995
4000,29,5.53999999999996
4000,30,5.54999999999995
4000,31,5.57999999999998
4000,32,5.56999999999999
4000,33,5.56
4000,34,5.57999999999998
4000,35,5.58000000000004
4000,36,5.56
4000,37,5.55000000000001
4000,38,5.57000000000005
4000,39,5.59000000000003
4000,40,5.58999999999992
